                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57819,                0.55952,                0.87509,                0.95178,                0.90838,                0.94884,                 0.7614,                0.72444,                0.53887,                0.86853,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.5522,                0.54879,                0.84687,                0.96162,                0.91768,                0.94536,                0.77232,                0.70512,                0.54075,                0.86977,              0.0009197,              0.0009197,              0.0009197
                     38,                0.57563,                0.53992,                0.83675,                0.95823,                 0.8971,                0.95101,                0.78347,                0.68272,                0.54649,                0.86465,             0.00090556,             0.00090556,             0.00090556
                     39,                0.56212,                0.53795,                0.83949,                 0.9564,                0.89912,                0.95002,                0.79109,                0.68511,                0.50901,                0.86434,             0.00089141,             0.00089141,             0.00089141
                     40,                0.53694,                0.52787,                0.83544,                0.96308,                0.92281,                0.96209,                0.79194,                0.68069,                0.49729,                0.86042,             0.00087726,             0.00087726,             0.00087726
                     41,                0.55926,                0.51588,                0.83111,                0.97357,                0.89164,                0.95609,                0.79209,                0.66783,                0.50191,                0.86425,             0.00086312,             0.00086312,             0.00086312
                     42,                0.51792,                 0.4951,                0.82735,                  0.966,                0.89034,                0.95205,                0.78957,                0.65484,                0.52249,                0.86708,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.5663,                0.53262,                0.84621,                0.96555,                0.91116,                 0.9556,                 0.7919,                0.69146,                0.51189,                0.86739,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.5443,                0.48729,                 0.8203,                0.96756,                0.89609,                0.95368,                0.78757,                0.67899,                0.50105,                0.86663,             0.00082067,             0.00082067,             0.00082067
                     45,                0.54685,                0.48288,                0.83665,                0.93952,                0.91139,                0.94942,                0.80514,                0.66139,                0.49556,                0.86715,             0.00080653,             0.00080653,             0.00080653
                     46,                0.51435,                0.46798,                0.85096,                0.97845,                 0.9023,                 0.9587,                0.80421,                0.67296,                0.48066,                0.86472,             0.00079238,             0.00079238,             0.00079238
                     47,                 0.5179,                0.46822,                0.82822,                0.96921,                0.90901,                0.95896,                0.81329,                0.64597,                0.47367,                0.86621,             0.00077823,             0.00077823,             0.00077823
                     48,                0.53605,                0.46009,                0.84181,                0.96638,                0.90924,                0.95943,                0.78935,                0.69826,                0.48845,                0.86363,             0.00076409,             0.00076409,             0.00076409
                     49,                0.55873,                0.48431,                0.83536,                0.96647,                0.93071,                 0.9612,                0.80696,                0.64971,                0.45957,                0.86096,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.5133,                0.45605,                0.83608,                0.95652,                0.94401,                0.96354,                0.78814,                0.67655,                0.47135,                0.85401,             0.00073579,             0.00073579,             0.00073579
